101;632340
147;104305
155;14494
185;42989
165;27731
151;48602
153;35090
157;74830
159;69262
161;23128
163;28953
167;53527
169;50759
183;22989
173;56214
175;40652
187;16633
201;25633
240;43354
210;40865
250;45223
190;40965
270;41048
260;31384
217;62695
219;51183
223;24864
230;56728
400;39499
411;84
253;50558
259;60979
350;27996
265;87914
269;23255
320;36576
376;60722
316;71541
326;48436
360;41105
370;83143
306;32957
329;34852
330;79073
340;29881
336;22805
390;45566
420;40965
430;51556
440;23812
482;12491
410;38853
480;29665
450;32009
461;204895
479;58296
492;5964
530;26608
561;115483
563;3488
607;51377
510;55670
621;93175
540;74220
550;37366
573;49961
575;42742
630;115748
580;58761
710;48397
766;46722
615;90966
707;37089
727;22844
730;97805
741;3657
740;94026
746;62678
706;42962
751;349983
657;89127
661;58591
756;41369
665;19722
760;56594
779;45851
671;21036
791;96921
810;36304
813;59654
860;64483
849;38324
825;1786
846;41800
773;20247
840;30113
787;43423
820;36727
851;217075
