OTM70_ZoneID,Population_Scn1
1.0,200.42
2.0,359.07
3.0,202.37
5.0,856.4100000000001
6.0,133.97
8.0,296.44
9.0,760.84
11.0,467.29
12.0,216.06
13.0,340.88
14.0,533.5
15.0,195.69
16.0,836.4899999999999
17.0,225.75
18.0,367.52
19.0,345.84000000000003
20.0,1643.48
21.0,383.1
22.0,183.76
25.0,568.57
28.0,499.16
29.0,1855.12
30.0,208.99
31.0,117.08
34.0,181.52
35.0,809.23
37.0,173.06
38.0,608.88
41.0,109.56
44.0,97.75
45.0,509.63
46.0,3757.9
47.0,494.47
48.0,345.37
49.0,1015.75
54.0,296.92
55.0,430.92
56.0,696.8100000000001
57.0,4479.08
58.0,1347.73
59.0,941.53
61.0,159.84
62.0,61.91
63.0,600.0899999999999
64.0,2022.48
66.0,53.22
67.0,106.88
68.0,3121.18
69.0,342.85
71.0,1516.68
72.0,275.73
73.0,399.82
74.0,959.06
75.0,1739.72
76.0,521.12
77.0,176.84
78.0,3538.47
79.0,1080.0
80.0,2316.76
81.0,459.98
83.0,3234.54
85.0,1313.6799999999998
86.0,1688.78
87.0,700.0
88.0,1055.54
89.0,3086.8500000000004
90.0,1972.6
92.0,108.78
93.0,1303.18
94.0,524.74
95.0,2762.68
96.0,3837.65
97.0,4122.58
98.0,3600.55
99.0,367.38
100.0,1874.42
101.0,446.97
102.0,556.65
103.0,989.77
104.0,2343.02
105.0,6285.62
107.0,361.33
108.0,320.75
109.0,783.6899999999999
110.0,672.0
111.0,164.86
112.0,1429.98
113.0,4782.04
114.0,3946.93
115.0,1647.12
116.0,71.81
117.0,437.94000000000005
118.0,81.92
119.0,780.0
120.0,2189.78
121.0,709.88
122.0,619.94
124.0,961.83
127.0,297.72
128.0,112.27
129.0,2183.5
130.0,533.77
131.0,1158.58
132.0,2886.51
134.0,24.3
135.0,1100.04
136.0,495.0
137.0,639.69
138.0,653.3
139.0,708.27
143.0,1732.24
144.0,723.88
145.0,260.7
146.0,249.0
147.0,1877.23
148.0,814.5799999999999
149.0,1994.55
151.0,5286.0
152.0,91.38
156.0,2438.11
157.0,1973.62
158.0,3325.67
159.0,42.15
160.0,3662.65
161.0,4275.4800000000005
162.0,1005.59
163.0,1726.67
164.0,3855.66
165.0,2404.56
166.0,856.06
168.0,643.76
169.0,1336.92
170.0,3897.22
171.0,3626.11
172.0,2311.04
173.0,1750.62
175.0,575.04
176.0,8164.25
177.0,1579.51
179.0,706.74
180.0,2216.01
181.0,1165.4
183.0,1432.6
184.0,1135.92
185.0,1016.0
186.0,222.72
187.0,1225.6
189.0,959.12
190.0,397.22
191.0,1988.73
192.0,1452.88
193.0,6358.19
194.0,2848.42
195.0,560.28
196.0,1019.15
197.0,1899.7
198.0,828.0
199.0,3492.85
200.0,954.49
201.0,749.07
202.0,1188.62
203.0,3383.4
204.0,591.75
205.0,931.76
206.0,882.16
207.0,1162.8200000000002
208.0,2588.61
209.0,564.39
210.0,3314.86
211.0,895.44
212.0,1159.39
213.0,688.56
214.0,4740.86
215.0,3022.4300000000003
216.0,1813.61
217.0,756.38
218.0,1217.04
219.0,2718.75
220.0,1742.52
221.0,3122.0
222.0,1021.32
223.0,598.86
224.0,1059.77
226.0,983.44
227.0,3471.09
228.0,5684.849999999999
229.0,1689.16
230.0,2932.92
231.0,420.72
232.0,250.21
233.0,402.99
234.0,888.96
235.0,1476.53
237.0,2533.02
240.0,4474.97
241.0,744.96
243.0,626.9000000000001
245.0,276.49
246.0,1753.38
247.0,544.5
249.0,348.51
250.0,2750.68
251.0,426.5
253.0,257.14
254.0,932.88
256.0,1970.19
258.0,2091.19
260.0,3912.8
261.0,938.48
262.0,559.8
265.0,1349.64
266.0,474.12
268.0,1114.88
269.0,2900.7
271.0,1616.72
273.0,1510.96
275.0,341.59000000000003
276.0,2606.28
278.0,0.48
279.0,1489.65
281.0,531.72
282.0,1102.98
284.0,4615.19
288.0,2517.18
289.0,2214.4300000000003
290.0,823.0
291.0,1862.0
292.0,821.0
293.0,1777.24
294.0,2554.91
295.0,759.75
296.0,835.1700000000001
297.0,634.4
298.0,2806.25
299.0,872.9100000000001
300.0,5389.56
301.0,3076.98
302.0,821.09
303.0,2814.0
304.0,408.24
305.0,14959.4
306.0,684.09
307.0,792.0
308.0,777.9000000000001
309.0,967.76
310.0,912.19
311.0,2.92
312.0,1417.0
313.0,1204.1
316.0,942.0
317.0,734.93
318.0,535.76
319.0,2478.49
320.0,3629.78
321.0,1508.44
322.0,688.33
323.0,697.34
324.0,1345.84
325.0,644.79
326.0,668.07
327.0,1156.76
328.0,1156.9299999999998
329.0,1029.24
330.0,486.12
331.0,918.0
