MunicipalityOrigin,total
101,0.10859792850919744
147,0.017913317097055126
155,0.0024891962801851975
185,0.007382921132115458
165,0.004762515664814109
151,0.008346896481962258
153,0.006026348659562479
157,0.012851287266886871
159,0.011895040206857123
161,0.003971997486416672
163,0.004972381668290466
167,0.009192714867495037
169,0.008717339173859558
183,0.0039481256578706705
173,0.009654179639459824
175,0.006981565280949955
187,0.002856547656155677
201,0.004402205619565832
240,0.007445606149520425
210,0.007018145852750662
250,0.007766587786588601
190,0.007035319830121885
270,0.007049574231340001
260,0.0053898810581849204
217,0.010767225112888846
219,0.008790156837913548
223,0.00427013773358112
230,0.009742453883147914
400,0.006783549321859743
411,1.4426140991828107e-05
253,0.008682819479343398
259,0.010472519661198644
350,0.004808026704847853
265,0.01509833046613781
269,0.003993808437678126
320,0.0062815539632988665
376,0.010428382539354599
316,0.012286435151147317
326,0.008318387679526026
360,0.007059363398441599
370,0.014278960005756717
306,0.005660027722234273
329,0.005985474593418966
330,0.013579979126747903
340,0.005131756178295425
336,0.003916525539507619
390,0.007825494528971898
420,0.007035319830121885
430,0.008854215773508213
440,0.004089467491635843
482,0.002145201513439582
410,0.006672605428041636
480,0.0050946603871735805
450,0.00549721841675507
461,0.03518862093476929
479,0.010011741848328705
492,0.0010242560104197955
530,0.004569651898935265
561,0.019833024287610537
563,0.0005990283307082909
607,0.008823474354013722
510,0.009560753202560366
621,0.016001853415637902
540,0.012746526004922406
550,0.006417228384531536
573,0.00858029083443719
575,0.007340501408008535
630,0.019878535327644282
580,0.010091600843104898
710,0.008311689828351248
766,0.008024025707383248
615,0.015622480255507566
707,0.006369656467213246
727,0.003923223390682396
730,0.01679700856792557
741,0.0006280523524656593
740,0.01614800396306702
746,0.01076430553673574
706,0.007378284158225228
751,0.060106001223130666
657,0.015306650811650757
661,0.010062405081573817
756,0.0071047026987016305
665,0.0033870518171527845
760,0.009719440753470475
779,0.007874440364479887
671,0.003612717879810667
791,0.01664519060796395
810,0.006234840744849137
813,0.010244964461029927
860,0.011074295828286332
849,0.006581755087747861
825,0.0003067272358500595
846,0.007178722541171605
773,0.00347721519835171
840,0.005171599805796664
787,0.00745745619390657
820,0.006307486669129415
851,0.03728041137858436
