Year;MunicipalityID;zoneid;ZoneName;ZoneDescription;CountryCode;Area;BNP;JOBS;Population;Area_km2;Density;CPH_FRDB;Main_cities;MainC_and_HighDensAreas;HighDensAreas;East_GB;East_GB_NoBorholm
2020;630;630350;Thyregod;Vejle Kommunes vestlige del;DK;127389368;1201151161;1692.239014;4321.502879;127.389368;33.92357578;0;0;0;0;0;0
2020;630;630360;Give;Vejle Kommunes vestlige del;DK;74505200;1887966685;2939.29541;5668.724972;74.5052;76.08495745;0;0;0;0;0;0
2020;630;630370;Gronbjerg;Vejle Kommunes vestlige del;DK;125185696;531518835.2;1020.172241;2517.945585;125.185696;20.11368443;0;0;0;0;0;0
2020;630;630380;Vandel;Vejle Kommunes vestlige del;DK;135167408;487244900.5;999.4995728;3579.9205;135.167408;26.48508655;0;0;0;0;0;0
2020;657;657110;Gjellerup;Herning Kommune;DK;47242536;3466248551;4624.294922;8894.072615;47.242536;188.2640808;0;0;0;0;0;0
2020;657;657120;Tjorring;Herning Kommune;DK;15796671;1108068462;2042.326416;7464.206771;15.796671;472.5177077;0;0;0;0;0;0
2020;657;657130;Herning ost;Herning Kommune;DK;10323340;8681397590;14319.14258;14451.91665;10.32334;1399.926443;0;0;0;0;0;0
2020;657;657140;Herning vest;Herning Kommune;DK;5169626;2262917763;3652.600586;11784.86262;5.169626;2279.635436;0;0;1;1;0;0
2020;657;657150;Snejbjerg;Herning Kommune;DK;14932363;6139391797;8832.869141;4461.397718;14.932363;298.7737251;0;0;0;0;0;0
2020;657;657160;Lind;Herning Kommune;DK;13799091;1549420323;2431.335938;4988.172501;13.799091;361.4855863;0;0;0;0;0;0
2020;657;657210;Sunds;Herning Kommune;DK;68310896;1360816694;1838.71228;5531.063568;68.310896;80.96897994;0;0;0;0;0;0
2020;657;657220;Herning Landdistrikt;Herning Kommune;DK;308006432;497074770.3;1217.363403;4758.449922;308.006432;15.44919011;0;0;0;0;0;0
2020;657;657230;Aulum;Herning Kommune;DK;221057312;1523965887;2631.29834;7597.332736;221.057312;34.3681585;0;0;0;0;0;0
2020;657;657240;Vildbjerg;Herning Kommune;DK;166405056;2031706977;3110.592285;7724.972108;166.405056;46.42270069;0;0;0;0;0;0
2020;657;657310;Havnstrup;Herning Kommune;DK;108197856;847346887.2;1659.538818;4577.047108;108.197856;42.30256751;0;0;0;0;0;0
2020;657;657320;Kitbëk;Herning Kommune;DK;174132832;728171729.2;1175.887329;3712.884634;174.132832;21.32214007;0;0;0;0;0;0
2020;657;657330;Sonder Felding;Herning Kommune;DK;169479552;932799618.1;1239.982056;3630.549383;169.479552;21.42175466;0;0;0;0;0;0
2020;661;661110;Ejsing;Holstebro Kommune;DK;176465376;917816881.7;1655.654053;3602.221433;176.465376;20.41319104;0;0;0;0;0;0
2020;661;661120;Vinderup;Holstebro Kommune;DK;139758256;1521450538;2679.996094;7067.707461;139.758256;50.57094774;0;0;0;0;0;0
2020;661;661130;Holstebro ost;Holstebro Kommune;DK;18706234;656036445.8;1243.397461;4714.630263;18.706234;252.0352447;0;0;0;0;0;0
2020;661;661140;Tvis;Holstebro Kommune;DK;89640704;813605774.2;1128.206055;3109.450557;89.640704;34.68793102;0;0;0;0;0;0
2020;661;661210;Holstebro syd;Holstebro Kommune;DK;10864186;1787547816;3034.483154;7836.925351;10.864186;721.3541218;0;0;0;0;0;0
2020;661;661220;Holstebro centrum;Holstebro Kommune;DK;3792281;4118896076;7659.79541;9440.59665;3.792281;2489.424346;0;0;1;1;0;0
2020;661;661230;Holstebro nord;Holstebro Kommune;DK;18276060;4622998606;5559.274414;1540.580206;18.27606;84.29498513;0;0;0;0;0;0
2020;661;661240;Holstebro nordvest;Holstebro Kommune;DK;8749207;1716203488;2692.916992;12532.38302;8.749207;1432.402162;0;0;0;0;0;0
2020;661;661250;Norre Felding;Holstebro Kommune;DK;70340232;125403645.7;264.322937;1088.977808;70.340232;15.48157828;0;0;0;0;0;0
2020;661;661260;Vemb;Holstebro Kommune;DK;92566112;444355411.4;797.1738281;2979.674914;92.566112;32.18969501;0;0;0;0;0;0
2020;661;661270;Ulfborg;Holstebro Kommune;DK;172313696;988946943.4;1868.738403;4794.793117;172.313696;27.8259548;0;0;0;0;0;0
2020;665;665010;Bëkmarksbro;Lemvig Kommune;DK;136592560;450565219;806.5438843;2570.46249;136.59256;18.81846632;0;0;0;0;0;0
