0;61466
1;61916
2;62148
3;62697
4;59661
5;58993
6;58415
7;60745
8;61926
9;66522
10;66254
11;68649
12;67673
13;68523
14;67530
15;67768
16;67948
17;67304
18;68639
19;71623
20;72131
21;73901
22;76462
23;78029
24;81368
25;82438
26;80189
27;81165
28;78497
29;78521
30;76209
31;73803
32;70680
33;69626
34;68028
35;65478
36;64089
37;65452
38;64948
39;68495
40;69580
41;71301
42;70755
43;73376
44;79147
45;77918
46;77451
47;80790
48;79589
49;76141
50;75628
51;78262
52;83275
53;88906
54;85835
55;83408
56;81314
57;76439
58;73951
59;73426
60;69935
61;69869
62;68816
63;68692
64;67059
65;65209
66;65611
67;63587
68;61861
69;63007
70;61805
71;64190
72;67036
73;67743
74;63780
75;58778
76;52778
77;48254
78;41368
79;38658
80;35232
81;32993
82;29985
83;26583
84;23170
85;20704
86;17963
87;15647
88;13431
89;11590
90;9717
91;8368
92;6701
93;5605
94;4323
95;3265
96;2322
97;1578
98;1193
99;822
100;490
101;290
102;134
103;108
104;54
105;30
106;18
107;8
108;0
109;1
110;0
111;1
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
